('monday_small_room_1_8', 'empty')
('thursday_small_room_1_8', 'empty')
('thursday_small_room_1_9', 'empty')
('thursday_small_room_1_10', 'empty')
('thursday_small_room_1_11', 'empty')
('thursday_small_room_1_12', 'empty')
('thursday_small_room_1_13', 'empty')
('thursday_small_room_1_14', 'empty')
('thursday_small_room_1_15', 'empty')
('thursday_small_room_1_16', 'empty')
('thursday_small_room_1_17', 'empty')
('thursday_small_room_1_18', 'empty')
('thursday_small_room_1_19', 'empty')
('thursday_small_room_1_20', 'empty')
('thursday_medium_room_1_8', 'empty')
('thursday_medium_room_1_9', 'empty')
('thursday_medium_room_1_10', 'empty')
('thursday_medium_room_1_11', 'empty')
('thursday_medium_room_1_12', 'empty')
('thursday_medium_room_1_13', 'empty')
('thursday_medium_room_1_14', 'empty')
('thursday_medium_room_1_15', 'empty')
('thursday_medium_room_1_16', 'empty')
('thursday_medium_room_1_17', 'empty')
('thursday_medium_room_1_18', 'empty')
('thursday_medium_room_1_19', 'empty')
('thursday_medium_room_1_20', 'empty')
('thursday_medium_room_2_8', 'empty')
('thursday_medium_room_2_9', 'empty')
('thursday_medium_room_2_10', 'empty')
('thursday_medium_room_2_11', 'empty')
('thursday_medium_room_2_12', 'empty')
('thursday_medium_room_2_13', 'empty')
('thursday_medium_room_2_14', 'empty')
('thursday_medium_room_2_15', 'empty')
('thursday_medium_room_2_16', 'empty')
('thursday_medium_room_2_17', 'empty')
('thursday_medium_room_2_18', 'empty')
('thursday_medium_room_2_19', 'empty')
('thursday_medium_room_2_20', 'empty')
('thursday_big_room_1_8', 'empty')
('thursday_big_room_1_9', 'empty')
('thursday_big_room_1_10', 'empty')
('thursday_big_room_1_11', 'empty')
('thursday_big_room_1_12', 'empty')
('thursday_big_room_1_13', 'empty')
('thursday_big_room_1_14', 'empty')
('thursday_big_room_1_15', 'empty')
('thursday_big_room_1_16', 'empty')
('thursday_big_room_1_17', 'empty')
('thursday_big_room_1_18', 'empty')
('thursday_big_room_1_19', 'empty')
('thursday_big_room_1_20', 'empty')
('friday_small_room_1_8', 'empty')
('friday_small_room_1_9', 'empty')
('friday_small_room_1_10', 'empty')
('friday_small_room_1_11', 'empty')
('friday_small_room_1_12', 'empty')
('friday_small_room_1_13', 'empty')
('friday_small_room_1_14', 'empty')
('friday_small_room_1_15', 'empty')
('friday_small_room_1_16', 'empty')
('friday_small_room_1_17', 'empty')
('friday_small_room_1_18', 'empty')
('friday_small_room_1_19', 'empty')
('friday_small_room_1_20', 'empty')
('friday_medium_room_1_8', 'empty')
('friday_medium_room_1_9', 'empty')
('friday_medium_room_1_10', 'empty')
('friday_medium_room_1_11', 'empty')
('friday_medium_room_1_12', 'empty')
('friday_medium_room_1_13', 'empty')
('friday_medium_room_1_14', 'empty')
('friday_medium_room_1_15', 'empty')
('friday_medium_room_1_16', 'empty')
('friday_medium_room_1_17', 'empty')
('friday_medium_room_1_18', 'empty')
('friday_medium_room_1_19', 'empty')
('friday_medium_room_1_20', 'empty')
('friday_medium_room_2_8', 'empty')
('friday_medium_room_2_9', 'empty')
('friday_medium_room_2_10', 'empty')
('friday_medium_room_2_11', 'empty')
('friday_medium_room_2_12', 'empty')
('friday_medium_room_2_13', 'empty')
('friday_medium_room_2_14', 'empty')
('friday_medium_room_2_15', 'empty')
('friday_medium_room_2_16', 'empty')
('friday_medium_room_2_17', 'empty')
('friday_medium_room_2_18', 'empty')
('friday_medium_room_2_19', 'empty')
('friday_medium_room_2_20', 'empty')
('friday_big_room_1_8', 'empty')
('friday_big_room_1_9', 'empty')
('friday_big_room_1_10', 'empty')
('friday_big_room_1_11', 'empty')
('friday_big_room_1_12', 'empty')
('friday_big_room_1_13', 'empty')
('friday_big_room_1_14', 'empty')
('friday_big_room_1_15', 'empty')
('friday_big_room_1_16', 'empty')
('friday_big_room_1_17', 'empty')
('friday_big_room_1_18', 'empty')
('friday_big_room_1_19', 'empty')
('friday_big_room_1_20', 'empty')
('saturday_small_room_1_8', 'empty')
('saturday_small_room_1_9', 'empty')
('saturday_small_room_1_10', 'empty')
('saturday_small_room_1_11', 'empty')
('saturday_small_room_1_12', 'empty')
('saturday_small_room_1_13', 'empty')
('saturday_small_room_1_14', 'empty')
('saturday_small_room_1_15', 'empty')
('saturday_small_room_1_16', 'empty')
('saturday_small_room_1_17', 'empty')
('saturday_small_room_1_18', 'empty')
('saturday_small_room_1_19', 'empty')
('saturday_small_room_1_20', 'empty')
('saturday_medium_room_1_8', 'empty')
('saturday_medium_room_1_9', 'empty')
('saturday_medium_room_1_10', 'empty')
('saturday_medium_room_1_11', 'empty')
('saturday_medium_room_1_12', 'empty')
('saturday_medium_room_1_13', 'empty')
('saturday_medium_room_1_14', 'empty')
('saturday_medium_room_1_15', 'empty')
('saturday_medium_room_1_16', 'empty')
('saturday_medium_room_1_17', 'empty')
('saturday_medium_room_1_18', 'empty')
('saturday_medium_room_1_19', 'empty')
('saturday_medium_room_1_20', 'empty')
('saturday_medium_room_2_8', 'empty')
('saturday_medium_room_2_9', 'empty')
('saturday_medium_room_2_10', 'empty')
('saturday_medium_room_2_11', 'empty')
('saturday_medium_room_2_12', 'empty')
('saturday_medium_room_2_13', 'empty')
('saturday_medium_room_2_14', 'empty')
('saturday_medium_room_2_15', 'empty')
('saturday_medium_room_2_16', 'empty')
('saturday_medium_room_2_17', 'empty')
('saturday_medium_room_2_18', 'empty')
('saturday_medium_room_2_19', 'empty')
('saturday_medium_room_2_20', 'empty')
('saturday_big_room_1_8', 'empty')
('saturday_big_room_1_9', 'empty')
('saturday_big_room_1_10', 'empty')
('saturday_big_room_1_11', 'empty')
('saturday_big_room_1_12', 'empty')
('saturday_big_room_1_13', 'empty')
('saturday_big_room_1_14', 'empty')
('saturday_big_room_1_15', 'empty')
('saturday_big_room_1_16', 'empty')
('saturday_big_room_1_17', 'empty')
('saturday_big_room_1_18', 'empty')
('saturday_big_room_1_19', 'empty')
('saturday_big_room_1_20', 'empty')
('sunday_small_room_1_8', 'empty')
('sunday_small_room_1_9', 'empty')
('sunday_small_room_1_10', 'empty')
('sunday_small_room_1_11', 'empty')
('sunday_small_room_1_12', 'empty')
('sunday_small_room_1_13', 'empty')
('sunday_small_room_1_14', 'empty')
('sunday_small_room_1_15', 'empty')
('sunday_small_room_1_16', 'empty')
('sunday_small_room_1_17', 'empty')
('sunday_small_room_1_18', 'empty')
('sunday_small_room_1_19', 'empty')
('sunday_small_room_1_20', 'empty')
('sunday_medium_room_1_8', 'empty')
('sunday_medium_room_1_9', 'empty')
('sunday_medium_room_1_10', 'empty')
('sunday_medium_room_1_11', 'empty')
('sunday_medium_room_1_12', 'empty')
('sunday_medium_room_1_13', 'empty')
('sunday_medium_room_1_14', 'empty')
('sunday_medium_room_1_15', 'empty')
('sunday_medium_room_1_16', 'empty')
('sunday_medium_room_1_17', 'empty')
('sunday_medium_room_1_18', 'empty')
('sunday_medium_room_1_19', 'empty')
('sunday_medium_room_1_20', 'empty')
('sunday_medium_room_2_8', 'empty')
('sunday_medium_room_2_9', 'empty')
('sunday_medium_room_2_10', 'empty')
('sunday_medium_room_2_11', 'empty')
('sunday_medium_room_2_12', 'empty')
('sunday_medium_room_2_13', 'empty')
('sunday_medium_room_2_14', 'empty')
('sunday_medium_room_2_15', 'empty')
('sunday_medium_room_2_16', 'empty')
('sunday_medium_room_2_17', 'empty')
('sunday_medium_room_2_18', 'empty')
('sunday_medium_room_2_19', 'empty')
('sunday_medium_room_2_20', 'empty')
('sunday_big_room_1_8', 'empty')
('sunday_big_room_1_9', 'empty')
('sunday_big_room_1_10', 'empty')
('sunday_big_room_1_11', 'empty')
('sunday_big_room_1_12', 'empty')
('sunday_big_room_1_13', 'empty')
('sunday_big_room_1_14', 'empty')
('sunday_big_room_1_15', 'empty')
('sunday_big_room_1_16', 'empty')
('sunday_big_room_1_17', 'empty')
('sunday_big_room_1_18', 'empty')
('sunday_big_room_1_19', 'empty')
('sunday_big_room_1_20', 'empty')
